Dòng,Kanji,Hán Việt,Hiragana,Nghĩa,Lỗi,Ghi chú / gợi ý sửa
132,"測る/計る/量る","TRẮC KẾ LƯỢNG","はかる","Đo, đo đạc","Nhiều dạng viết","Tách 3 dòng: 測る=Đo (kích thước, thời gian) | 計る=Đo (đếm, tính toán) | 量る=Đo (cân, khối lượng)"
200,"戦う/闘う","CHIẾN ĐẤU","たたかう","Đánh nhau, tranh chấp","Nhiều dạng viết","Tách 2 dòng: 戦う=Chiến đấu (chiến tranh) | 闘う=Đấu tranh (bệnh tật, khó khăn)"
211,"立つ/発つ","LẬP PHÁT","たつ","Khởi hành, rời khỏi","Nhiều dạng viết","Tách 2 dòng: 立つ=Đứng dậy, khởi hành | 発つ=Khởi hành, xuất phát (đi đâu đó)"
262,"荒い/粗い","HOANG THÔ","あらい","Bạo lực, khốc liệt","Nhiều dạng viết","Tách 2 dòng: 荒い=Thô bạo, dữ dội | 粗い=Thô, sơ sài (chất lượng, kết cấu)"
557,"にこにこ/にっこり","","にこにこ・にっこり","Cười sung sướng","Nhiều dạng viết","Tách 2 dòng: にこにこ=Cười tủm tỉm (kéo dài) | にっこり=Mỉm cười (một lần, ngắn)"
558,"にやにや/にやりと","","にやにや・にやりと","Meo meo, con gì đó kêu meo meo","⚠️ NGHI NGỜ LỖI FILE GỐC","Nghĩa ""meo meo"" không khớp にやにや/にやりと (nghĩa thật: cười nhếch mép/cười khẩy). Nhiều khả năng cột nghĩa bị lệch hàng từ một dòng khác trong file gốc. ĐỀ NGHỊ: tự tra lại nghĩa trước khi nhập, đừng dùng nghĩa trong file này."
559,"どきどき/どきりと","","どきどき・どきりと","Hồi hộp","Nhiều dạng viết","Tách 2 dòng: どきどき=Tim đập nhanh (liên tục, hồi hộp kéo dài) | どきりと=Giật mình (một lần, đột ngột)"
599,"制作／製作","CHẾ TÁC","せいさく","Chế tạo, sản xuất","Nhiều dạng viết","Tách 2 dòng: 制作=Sáng tác (phim, tác phẩm nghệ thuật) | 製作=Chế tạo, sản xuất (hàng hoá công nghiệp)"
699,"捕る／採る／執る","BỘ THÁI CHẤP","とる","Lấy, tuyển dụng","Nhiều dạng viết","Tách 3 dòng: 捕る=Bắt (con vật) | 採る=Lấy, thu hoạch, tuyển dụng | 執る=Đảm nhiệm, tiến hành (công việc)"
766,"片寄る／偏る","PHIẾN KÍ THIÊN","かたよる","Dồn về một phía","Nhiều dạng viết","Tách 2 dòng: cùng nghĩa lệch/dồn về một phía — 偏る là chữ Hán thường dùng hơn, 片寄る là cách viết thay thế"
783,"整える／調える","CHỈNH ĐIỀU","ととのえる","Chuẩn bị sẵn sàng","Nhiều dạng viết","Tách 2 dòng: 整える=Sắp xếp gọn gàng, chỉnh đốn | 調える=Chuẩn bị, sắm sửa (kể cả huy động tiền bạc)"
1037,"収まる／納まる／収まる","THU NẠP TRỊ","おさまる","Thu nạp, định cư, bình tĩnh","⚠️ NGHI NGỜ LỖI FILE GỐC","Chữ 収まる bị lặp lại 2 lần trong cùng ô — chữ thứ ba đúng ra phải là 治まる (trị, ứng với âm ""TRỊ"" đã có sẵn ở cột Hán Việt). Gợi ý: 収まる=Được chứa vừa, ổn thoả | 納まる=Được nộp, được giao | 治まる=Được bình định, dịu đi"
1038,"治める／収める／納める","TRỊ THU NẠP","おさめる","Giải quyết, đạt được, giao hàng","Nhiều dạng viết","Tách 3 dòng: 治める=Cai trị, bình định | 収める=Thu được, đạt được, cất giữ | 納める=Nộp, giao (hàng, tiền)"
1039,"沿う／添う","DUYÊN DIỄM","そう","Cùng với, men theo","Nhiều dạng viết","Tách 2 dòng: 沿う=Đi men theo (con sông, con đường) | 添う=Đi kèm, gắn bó (người, vật)"
1146,"できれば／できたら","","できれば／できたら","Nếu có thể","Nhiều dạng viết","Hai cách nói cùng nghĩa ""nếu có thể"", khác biệt rất nhỏ về sắc thái — có thể chỉ giữ một dòng (できれば, phổ biến hơn) thay vì tách hai"
